Região/Unidade da Federação;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Total
Rondônia;0;0;0;0;0;0;1;1;0;2;0;0;4
Amazonas;0;0;0;0;0;0;0;0;1;0;0;0;1
Amapá;0;0;0;0;1;0;0;0;0;0;0;0;1
Maranhão;1;0;0;0;0;0;0;1;1;2;1;5;11
Piauí;0;0;0;0;0;0;0;0;0;0;1;0;1
Ceará;0;0;0;0;0;0;0;1;0;3;0;4;8
Rio Grande do Norte;0;0;0;0;0;0;0;2;0;0;7;5;14
Paraíba;0;0;0;1;1;0;1;2;0;2;2;8;17
Pernambuco;0;0;1;0;0;1;0;1;4;3;7;13;30
Alagoas;0;0;0;0;0;0;1;0;0;0;0;3;4
Sergipe;0;0;0;0;0;0;0;0;0;0;0;1;1
Bahia;0;0;0;0;0;0;1;2;1;2;4;9;19
Minas Gerais;0;1;0;2;3;7;14;14;31;18;35;69;194
Espírito Santo;0;0;0;0;0;1;0;0;0;1;1;0;3
Rio de Janeiro;0;1;0;0;0;1;2;3;4;5;2;5;23
São Paulo;0;0;0;1;0;5;5;10;11;13;9;24;78
Paraná;0;0;0;1;1;3;4;4;1;9;9;11;43
Santa Catarina;0;0;0;0;0;0;0;1;0;0;0;1;2
Mato Grosso do Sul;0;0;2;0;1;0;2;1;2;2;7;5;22
Mato Grosso;0;0;0;0;0;0;0;1;0;0;4;0;5
 Goiás;1;0;1;1;0;0;7;10;9;5;8;8;50
Distrito Federal;0;0;0;1;1;2;1;3;3;2;4;6;23
Região Norte;0;0;0;0;1;0;1;1;1;2;0;0;6
Região Nordeste;1;0;1;1;1;1;3;9;6;12;22;48;105
Região Centro Oeste;1;0;3;2;2;2;10;15;14;9;23;19;100
Região Sul;0;0;0;1;1;3;4;5;1;9;9;12;45
Região Sudeste;0;2;0;3;3;14;21;27;46;37;47;98;298
Total;4;4;8;14;16;40;78;114;136;138;202;234;1108
